index	biography	name	fullName
156	AUBREY, JOHN (1739-1826), e. s. of Sir Thomas Aubrey of Boarstall, Bucks, and Llantrithyd, Glam.; educ. Westminster and Ch.Ch. Oxf. 1758; MP 1768-d; m. 1 1771 Mary Colebrooke (d. 1781), 2 1783 Martha Carter; suc. fa. 1786 as 6th Bt.	AUBREY, JOHN	John Aubrey
157	AUBREY, TIMOTHY, see Thomas Turner	AUBREY, TIMOTHY	Timothy Aubrey
158	AUFRERE, ANTHONY (1757-1833), antiquary and miscellaneous writer, e. s. of Anthony Aufrere of Hoveton St Peter, Norf.; m. 1791 Marianna Lockhart; ed. The Lockhart Papers [1817]; d. Pisa.	AUFRERE, ANTHONY	Anthony Aufrere
159	AUFRERE, GEORGE RENE (1715-1801), of Chelsea, Mx., merchant and collector, 2nd s. of Israel Aufrère; m. 1746 Arabella Bate; MP 1765-74.	AUFRERE, GEORGE RENE	George Rene Aufrere
160	AUGUSTUS FREDERICK, PRINCE (1773- 1843), 6th s. of George III; cr. D. of Sussex 1801; m. 1793 Ldy. Augusta Murray (c.1762-1830, dau. of 4th E. of Dunmore), annulled 1794; pres. SA 1816 and RS 1830-8.	AUGUSTUS FREDERICK, PRINCE	Prince Augustus Frederick
161	AUSTEN, EDWARD (1767-1852), 2nd s. of the Rev. George Austen of Steventon, Hants, bro. of Jane Austen the novelist; adopted by Thomas Knight of Godmersham and Chawton; m. 1791 Elizabeth Bridges; changed name to Knight 1812.	AUSTEN, EDWARD	Edward Austen
162	AUSTEN, JOHN	AUSTEN, JOHN	John Austen
163	AVISON, CHARLES (c.1710-70), b. Newcastle-upon-Tyne; organist at St Nicholas, Newcastle 1736; author of An Essay on Musical Expression [1752]; he studied music in Italy as a young man before his appointment as organist in Newcastle (DNB).	AVISON, CHARLES	Charles Avison
164	AYLESFORD, 4TH EARL OF, see Heneage, Lord Guernsey	AYLESFORD, 4TH EARL OF	4th Earl Of Aylesford
165	AYLMER, SIR GERALD, 5TH BT. (1703-37) of Donadea, Kild.; suc. fa. 1711 as 5th Bt.; m. 1726 Lucy Norris.	AYLMER, SIR GERALD, 5TH BT.	Sir Gerald, 5th Bt. Aylmer
166	AYRES, see John Conyers	AYRES	Ayres
167	AYSCOUGH, GEORGE EDWARD (d. 1779), soldier and dramatist; s. of Francis Ayscough, Dean of Bristol; Dilettanti 1770; army officer; KB 1772.	AYSCOUGH, GEORGE EDWARD	George Edward Ayscough
168	AYTON, JAMES	AYTON, JAMES	James Ayton
169	BACON, JOSIAH	BACON, JOSIAH	Josiah Bacon
170	BACON, NICHOLAS	BACON, NICHOLAS	Nicholas Bacon
171	BAGGS, MAJ.	BAGGS, MAJ.	Maj. Baggs
172	BAGLEY	BAGLEY	Bagley
173	BAGNALL, GEORGE	BAGNALL, GEORGE	George Bagnall
174	BAGNALL, JOSEPH, merchant.	BAGNALL, JOSEPH, merchant.	Joseph Bagnall
175	BAGNALL	BAGNALL	Bagnall
176	BAGNELL, COL. WILLIAM, see William Adair	BAGNELL, COL. WILLIAM	Col. William Bagnell
177	BAGOT, CHARLES (1681-1738), 2nd surv. s. of Sir Walter Bagot, 4th Bt. of Blithfield, Staffs; MP 1710.	BAGOT, CHARLES	Charles Bagot
178	BAGOT, RICHARD (1733-1818), 3rd surv. s. of Sir Walter Bagot, 5th Bt. of Blithfield, Staffs; educ. Westminster and BNC Oxf. 1750; L.Inn 1751; DCL 1764; m. 1783 Frances, dau. of Vct. Andover, h. of her nephew, the 13th E. of Suffolk; changed name to Howard 1783.	BAGOT, RICHARD	Richard Bagot
179	BAGOT, THOMAS (1746-73), 6th surv. s. of Sir Walter Bagot, 5th Bt. of Blithfield, Staffs; L.Inn 1766; d. Naples.	BAGOT, THOMAS	Thomas Bagot
180	BAGOT, WILLIAM (1728-98), 1st surv. s. of Sir Walter Bagot, 5th Bt. of Blithfield, Staffs.; educ. Westminster and Magd. Oxf. 1747; MP 1754-80; m. 1760 Hon. Elizabeth St John, dau. of 2nd Vct. St John; suc. fa. 1768 as 6th Bt; cr. B. Bagot 1780.	BAGOT, WILLIAM	William Bagot
181	BAGSHAW, JOHN (1681-1737), 4th s. of Adam Bagshaw of Wormhill Hall, Derby; cons. Genoa 1724-37.	BAGSHAW, JOHN	John Bagshaw
182	BAGWELL, SAMUEL, see William Browne of Norfolk	BAGWELL, SAMUEL	Samuel Bagwell
183	BAILEY, MRS, see Lady Mary Adams	BAILEY, MRS	Mrs Bailey
184	BAILLIE, GEORGE (1664-1738), e. s. of Robert Baillie of Jerviswood, Lan. and Mellerstain, Rox.; suc. fa. 1684; m. 1691 Ldy. Grisell Hume, dau. of E. of Marchmont [S]; MP 1693-8 [S], 1700-1 [S], 1703-7 [S], 1707-34; see Lady Grisell Baillie.	BAILLIE, GEORGE	George Baillie
185	BAILLIE, HON. GEORGE HAMILTON (1723- 97), 2nd s. of Charles, Ld. Binning [S]; St Mary's Hall Oxf. 1737; suc. gd.-fa. 1738 to Mellerstain and Jerviswood, changing name to Baillie; m. 1759 Eliza Andrews.	BAILLIE, HON. GEORGE HAMILTON	Hon. George Hamilton Baillie
186	BAILLIE, GEORGE (1763-1841), e. s. of George (Hamilton) Baillie of Jerviswood, Lan., and Mellerstain, Rox.; Trin. Camb. 1784; MP 1796- 1818; suc. fa. 1797; m. 1801 Mary Pringle.	BAILLIE, GEORGE	George Baillie
187	BAILLIE, LADY GRISELL (HUME) (1665- 1746), dau. of Sir Patrick Hume (cr. E. of Marchmont [S] 1697); in exile with fa. and family in Utrecht 1684-91; m. 1691 George Baillie.	BAILLIE, LADY GRISELL	Lady Grisell Baillie
188	BAILLIE, HUGO, from Scotland.	BAILLIE, HUGO, from Scotland.	Hugo Baillie
189	BAILLIE, ROBERT	BAILLIE, ROBERT	Robert Baillie
190	BAILLIE, CAPT.	BAILLIE, CAPT.	Capt. Baillie
191	BAILLIE	BAILLIE	Baillie
192	BAINBRIDGE, GEORGE (c.1679-1714)	BAINBRIDGE, GEORGE	George Bainbridge
193	BAIRD, PATRICK, from Scotland.	BAIRD, PATRICK, from Scotland.	Patrick Baird
194	BAKER, JOHN MARTIN, merchant.	BAKER, JOHN MARTIN, merchant.	John Martin Baker
195	BAKER	BAKER	Baker
196	BALAM, ANTHONY, see Edward Buckley	BALAM, ANTHONY	Anthony Balam
197	BALCHEN, CAPT. GEORGE (d. 1745), see Temple West.	BALCHEN, CAPT. GEORGE	Capt. George Balchen
198	BALDWIN, GEORGE (1743?-1826), diplomat, traveller and mystical writer, s. of William Baldwin of London and bro. of consul at Cyprus who d. 1768; consul-gen. Egypt 1786-98.	BALDWIN, GEORGE	George Baldwin
199	BALDWIN, MRS	BALDWIN, MRS	Mrs Baldwin
200	BALDWYN, CHARLES (1687-1751), 3rd s. of Charles Baldwyn of Stokesay Castle, Salop; Balliol Oxf. 1704; L.Inn 1707; suc. bro. 1727; m. Elizabeth Allgood (d. 1732).	BALDWYN, CHARLES	Charles Baldwyn
201	BALFOUR, BLAYNEY TOWNLEY (1769- 1856), s. of Blayney Townley Balfour (1744-71) of Dublin; Trin. Oxf. 1786; suc. gd.-fa. Blayney Townley-Balfour of Townley Hall, Co.Louth, 1788; m. 1797 Ldy. Florence Cole, dau. of 1st E. of Enniskillen [I]; MP [I] 1797-1800.	BALFOUR, BLAYNEY TOWNLEY	Blayney Townley Balfour
202	BALFOUR, MAJ.	BALFOUR, MAJ.	Maj. Balfour
203	BALFOUR	BALFOUR	Balfour
204	BALGONIE, ALEXANDER LESLIE, LORD (1749-1820), s. of 8th E. of Leven [S]; sty. Ld. Balgonie 1754-1802 when suc. fa. as 9th E.; m. 1784 Jane Thornton.	BALGONIE, ALEXANDER LESLIE, LORD	Alexander Leslie, Lord Balgonie
205	BALL, CAPT. ALEXANDER JOHN (1757- 1809); naval officer, capt. 1782, adml. 1805; gov. of Malta 1799-d.; cr. Bt. 1801; d. Malta.	BALL, CAPT. ALEXANDER JOHN	Capt. Alexander John Ball
206	BALL, ROBERT, merchant; probably s. of Robert Ball, 5th s. of Sir Peter Ball, Kt. (1598-1680).	BALL, ROBERT, merchant	Robert Ball
207	BALL, MRS RUTH (MORGAN) (d.1800), dau. of Sir Charles Morgan; m. 1 Capt. Ball, 2 Adml. Sir Edward Hughes KB, 3 1793 Samuel Humphrey [Homfrey].	BALL, MRS RUTH	Mrs Ruth Ball
208	BALLARD, CHARLES, see Hon. Archibald Douglas	BALLARD, CHARLES	Charles Ballard
209	BALLE, SAMUEL	BALLE, SAMUEL	Samuel Balle
210	BALLE, THOMAS, merchant.	BALLE, THOMAS, merchant.	Thomas Balle
211	BALMERINOCH, 6TH LORD, see Capt. Arthur Elphinstone	BALMERINOCH, 6TH LORD	6th Lord Balmerinoch
212	BALTIMORE, CHARLOTTE (LEE), BARONESS (1678-1721), dau. of 1st E. of Lichfield; m. 1 1699 4th B. Baltimore [I] (1679- 1715), div. 1705, 2 1715 Christopher Crowe.	BALTIMORE, CHARLOTTE	Charlotte Baltimore
213	BALTIMORE, CHARLES CALVERT, 5TH BARON (1699-1751), e. s. of 4th B. Baltimore [I] of Woodcott Green, Surr.; suc. fa. 1715 as 5th B.; m. 1730 Mary Janssen; FRS 1731; gov. of Maryland 1732-3; MP 1734-d.	BALTIMORE, CHARLES CALVERT, 5TH BARON	Charles Calvert, 5th Baron Baltimore
214	BALTIMORE, FREDERICK CALVERT, 6TH BARON (1731-71), o. s. of 5th B. Baltimore [I] of Woodcott Green, Surr.; educ. Eton; suc. fa. 1751 as 6th B.; gov. of Maryland; m. 1753 Ldy. Diana Egerton (d. 1758), dau. of 1st D. of Bridgewater; FRS 1767; d. Naples.	BALTIMORE, FREDERICK CALVERT, 6TH BARON	Frederick Calvert, 6th Baron Baltimore
215	BAMFIELD	BAMFIELD	Bamfield
216	BAMFORD	BAMFORD	Bamford
217	BAMPFYLDE, CATHERINE (MOORE), LADY (1754-1832), dau. of Adml. Sir John Moore; m. 1776 Sir Charles Warwick Bampfylde.	BAMPFYLDE, CATHERINE	Catherine Bampfylde
218	BAMPFYLDE, CHARLES WARWICK (1753- 1823), 1st surv. s. of Sir Richard Warwick Bampfylde of Poltimore, Devon.; New Coll. Oxf. 1770; suc. fa. 1776 as 5th Bt.; m. 1776 Catherine Moore; MP 1774-90, 1796-1812.	BAMPFYLDE, CHARLES WARWICK	Charles Warwick Bampfylde
219	BAMPFYLDE, COPLESTONE WARRE (1720- 91), amateur painter of Hestercombe, Som., s. of John Bampfylde (d. 1750); St John's Camb. 1738; exh. SA 1761-3; RA 1771-4, 1783.	BAMPFYLDE, COPLESTONE WARRE	Coplestone Warre Bampfylde
220	BANKES, HENRY (1756-1834) of Kingston Lacy, Dorset, o. surv. s. of Henry Bankes of Broadchalk, Salisbury (d. 1776); educ. Westminster and Trin. Camb. 1773; m. 1784 Frances Woodley; MP 1780-1831; BM Trustee.	BANKES, HENRY	Henry Bankes
221	BANKES, WILLIAM (1751-1800), 2nd s. of William Bankes of Winstanley Hall, Lancs; BNC Oxf. 1768; m. 1779 Maryanne Bunney.	BANKES, WILLIAM	William Bankes
222	BANKS, THOMAS (1735-1805), sculptor, studied under Barlow and at St Martin's Lane Academy; premium SA 1763, 1765, 1769; gold medal RA 1770; m. 1766 Elizabeth Hooton; exh. Free SA 1767-9; RA betw. 1770-1803 (in 1778 from Rome); in St Petersburg 1781-2; ARA 1784; RA 1786.	BANKS, THOMAS	Thomas Banks
223	BARBAUD	BARBAUD	Barbaud
224	BARBER, JOHN (1675-1741), printer, alderman and Ld. Mayor of London 1732-3.	BARBER, JOHN	John Barber
225	BARBER, JOHN	BARBER, JOHN	John Barber
226	BARBER, MRS	BARBER, MRS	Mrs Barber
227	BARCKLEY, B.	BARCKLEY, B.	B. Barckley
228	BARCLAY, GEORGE, from Scotland, travelling tutor.	BARCLAY, GEORGE, from Scotland, travelling tutor.	George Barclay
229	BARCLAY, REV. G.	BARCLAY, REV. G.	Rev. G. Barclay
230	BARCLAY, DR ROBERT (c.1717-46), 3rd. s. of Sir Robert Dalrymple, of Castleton; educ. Leiden and Rotterdam; MD; m. Jean Barclay (d. 1746) taking wife's name; d. Rome.	BARCLAY, DR ROBERT	Dr Robert Barclay
231	BARHAM, 1ST BARON, see Sir Charles Middleton	BARHAM, 1ST BARON	1st Baron Barham
232	BARHAM	BARHAM	Barham
233	BARING	BARING	Baring
234	BARKER, FR. EDWARD	BARKER, FR. EDWARD	Fr. Edward Barker
235	BARKER, FRANCIS, see Edward Bearcroft	BARKER, FRANCIS	Francis Barker
236	BARKER, GEORGE	BARKER, GEORGE	George Barker
237	BARKER, HENRY ASTON (1774-1856), painter, s. of Robert Barker (1739-1806); RA schools; painted panoramas of Constantinople (1802), Venice (1819) and Waterloo (1822).	BARKER, HENRY ASTON	Henry Aston Barker
238	BARKER, JOHN (c.1711-72)	BARKER, JOHN	John Barker
239	BARKER, RALPH	BARKER, RALPH	Ralph Barker
240	BARKER, THOMAS (1769-1847) of Bath, painter, e. s. of Benjamin Barker (1720-93); m. 1803 Priscilla Jones; exh. RA between 1791 and 1829, and BI between 1801 and 1847.	BARKER, THOMAS	Thomas Barker
241	BARKER, WILLIAM (1738-1825), merchant of Smyrna, yst. s. of Thomas Barker (1709-54) of the Hall, Bakewell, Derby.; emigrated to Florida before settling in Smyrna in 1760; m. 1 1763 Flora Robin (d. 1775), 2 1776; d. Smyrna.	BARKER, WILLIAM	William Barker
242	BARKER, [WILLIAM?]	BARKER, [WILLIAM	[William Barker
243	BARKER	BARKER	Barker
244	BARLOW, HUGH (d. 1763), 2nd s. of John Barlow of Lawrenny, Pemb; MP 1747-61; m. 1 1733 Anne Skrine, 2 Elizabeth Owen; his dau. Catherine m. 1758 [Sir] William Hamilton.	BARLOW, HUGH	Hugh Barlow
245	BARLOW, LEWIS (d. 1737), e. s. of John Barlow of Lawrenny, Pemb; MP 1734-7; suc. fa. 1718; unm. see Hugh Barlow.	BARLOW, LEWIS	Lewis Barlow
246	BARLOW, ROBERT (c.1776-99), bro. of Thomas Barlow, a Gibraltar merchant.	BARLOW, ROBERT	Robert Barlow
247	BARLOW, MRS	BARLOW, MRS	Mrs Barlow
248	BARNARD, CHRISTOPHER VANE, BARON (1653-1723), 7th s. of Sir Henry Vane, Kt., of Raby Castle, Durham; suc. bro. in family estates 1673; MP 1675-9; m. 1676 Ldy. Elizabeth Holles, dau. of 3rd E. of Clare; cr. B. Barnard 1698.	BARNARD, CHRISTOPHER VANE, BARON	Christopher Vane, Baron Barnard
249	BARNARD, FREDERICK AUGUSTA (1743- 1830), s. of John Barnard, a page in the Royal household; Royal Librarian 1774-1830.	BARNARD, FREDERICK AUGUSTA	Frederick Augusta Barnard
250	BARNARD, WILLIAM HARRY VANE, VISCOUNT (1766-1842), o. s. of 2nd E. of Darlington; Ch.Ch. Oxf. 1783; m. 1 1787 his cos. Ldy. Katherine Powlett (d. 1807), dau. of 6th D. of Bolton, 2 1813 Elizabeth Russell; MP 1788-92; sty. Vct. Barnard -1792 when suc. fa. as 3rd E.; cr. M. of Cleveland 1827, D. of Cleveland 1833; KG 1839.	BARNARD, WILLIAM HARRY VANE, VISCOUNT	William Harry Vane, Viscount Barnard
251	BARNARD, CAPT.	BARNARD, CAPT.	Capt. Barnard
252	BARNE, MILES (1718-80) of Sotterley Hall, Suff., o. s. of Miles Barne of London; MP 1747-54, 1764-77; m. 1 1745 Elizabeth Elwick (d. 1747), 2 1752 Mary Thornhill.	BARNE, MILES	Miles Barne
253	BARNE, MILES (1746-1825), e. s. of Miles Barne, 1718-90, of Sotterley Hall, Suff.; Peterhouse Camb. 1763.	BARNE, MILES	Miles Barne
254	BARNE, DR	BARNE, DR	Dr Barne
255	BARNES, CAPT. JAMES, see Capt. Alexander Farquharson	BARNES, CAPT. JAMES	Capt. James Barnes
256	BARNES, see Capt. Macdonald	BARNES	Barnes
257	BARRE, ISAAC (1726-1802) of Westminster, o. s. of Peter Barré of Dublin; Trin. Dublin 1740; army officer, ensign 1746, lt.-col. 1761; MP 1761-90; unm.	BARRE, ISAAC	Isaac Barre
258	BARRE	BARRE	Barre
259	BARRETT, THOMAS (1717-86), o. s. of Richard Barrett of Belhus, Essex, by Anne Lennard, suo jure Bs. Dacre; suc. gd.-fa. 1725; educ. Harrow; L.Inn 1734; m. 1739 Anna Maria Pratt (d. 1806); FSA 1745; suc. mo. 1755 as 17th B. Dacre and changed name to Barrett-Lennard.	BARRETT, THOMAS	Thomas Barrett
260	BARRETT	BARRETT	Barrett
261	BARRINGTON, WILLIAM WILDMAN, 2ND VISCOUNT (1717-93) of Beckett, Berks, statesman, e. s. of 1st Vct. Barrington [I]; suc. fa. 1734 as 2nd Vct.; Dilettanti 1739; educ. Geneva 1735-8; m. 1740 Mary Lovell, wid. of Hon. Samuel Grimston; MP 1740-78.	BARRINGTON, WILLIAM WILDMAN, 2ND VISCOUNT	William Wildman, 2nd Viscount Barrington
262	BARRON, HUGH (c.1747-91), painter; studied at Fournier's Academy 1764 and with Reynolds c.1764-6; exh. SA 1766-78, and RA 1782-6.	BARRON, HUGH	Hugh Barron
263	BARRY, AMELIA	BARRY, AMELIA	Amelia Barry
264	BARRY, DAVID (d. 1781)	BARRY, DAVID	David Barry
265	BARRY, JAMES (1741-1806), painter, s. of John Barry of Cork; exh. Dublin SA and studied under Jacob Ennis; London 1764; worked for James 'Athenian' Stuart; exh. RA 1771-6; ARA 1772; RA 1773; prof. of painting RA 1782 but expelled 1799.	BARRY, JAMES	James Barry
266	BARRY, JAMES HUGH SMITH (1746-1801), 2nd surv. s. of Hon. John Smith Barry of Belmont Hall, Ches., and Fota Is., Cork; BNC Oxf. 1767; suc. fa. 1784.	BARRY, JAMES HUGH SMITH	James Hugh Smith Barry
267	BARRY, M.S. LEWIS	BARRY, M.S. LEWIS	M.s. Lewis Barry
268	BARRY, MRS, writer.	BARRY, MRS, writer.	Mrs Barry
269	BARRY	BARRY	Barry
270	BARRY	BARRY	Barry
271	BARRYMORE, RICHARD BARRY, 6TH EARL OF (1745-73), o. s. of 5th E. of Barrymore [I]; suc. fa. 1751 as 6th E.; educ. Westminster and Eton; m. 1767 Ldy. Emily Stanhope, dau. of 2nd E. of Harrington; army officer, capt. 9th Drag. 1767.	BARRYMORE, RICHARD BARRY, 6TH EARL OF	Richard Barry, 6th Earl Of Barrymore
272	BARTON, THOMAS, see Stephen Riou	BARTON, THOMAS	Thomas Barton
273	BARTON	BARTON	Barton
274	BARTY, see How 1730	BARTY	Barty
275	BASIL, WILLIAM, possibly William Ball, c.1698- 1755, of Wilton Park, Bucks, s. of Samuel Ball of London; Queen's Oxf. 1713; suc. god-fa. Martin Basil 1718, taking his name.	BASIL, WILLIAM, possibly William Ball, c.1698- 1755, of Wilton Park, Bucks, s. of Samuel Ball of London	William Basil
276	BASIRE, JAMES (1730-1802), painter and engraver; s. of Isaac Basire, engraver of Clerkenwell; engraver to RSA 1760.	BASIRE, JAMES	James Basire
277	BASSET, FRANCIS (1757-1835), e. s. of Francis Basset of Tehidy, Corn.; educ. Harrow, Eton and King's Camb. 1775; cr. Bt. 1779; m. 1 1780 Frances Susanna Coxe (d. 1823), 2 1824 Harriet Lemon; MP 1780-96; cr. B. de Dunstanville 1796, B. Basset 1797; FRS 1829.	BASSET, FRANCIS	Francis Basset
278	BATEMAN, JAMES (d. 1758) of Alford, Lincs, 2nd s. of Sir James Bateman, Kt., of Shobdon Court, Herefs.	BATEMAN, JAMES	James Bateman
279	BATEMAN, ROBERT (c.1678-1744), b. nr. Staveley, Windermere, Cumb.; apprenticed to a London merchant; alleged model of Wordsworth's Michael.	BATEMAN, ROBERT	Robert Bateman
280	BATEMAN, WILLIAM (c.1695-1744), s. and h. of Sir James Bateman, Kt., of Shobdon Court, Herefs; Peterhouse Camb. 1712; I.Temple 1712; suc. fa. 1718; m. 1720 Ldy. Anne Spencer, dau. of 3rd E. of Sunderland; MP 1721-2, 1727-34; cr. Vct. Bateman [I] 1725; KB 1732; FRS 1733; d. Paris.	BATEMAN, WILLIAM	William Bateman
281	BATEMAN, see John Elwood	BATEMAN	Bateman
282	BATES, DR BENJAMIN (c.1736-1828) of Little Missenden, Bucks; phys. at Aylesbury c.1758-; member of the Hell-Fire Club.	BATES, DR BENJAMIN	Dr Benjamin Bates
283	BATES, WILLIAM, merchant.	BATES, WILLIAM, merchant.	William Bates
284	BATES, WILLIAM, of Hackney.	BATES, WILLIAM, of Hackney.	William Bates
285	BATES, CAPT.	BATES, CAPT.	Capt. Bates
286	BATH, 1ST EARL OF, see William Pulteney	BATH, 1ST EARL OF	1st Earl Of Bath
287	BATH, HENRIETTA LAURA (PULTENEY), BARONESS OF (1766-1808), o. dau. and h. of Sir William Pulteney (formerly Johnstone), 5th Bt. of Westerhall, co. Dumfries; suc. mo. 1782; cr. Bs. of Bath 1792; m. 1794 Gen. Sir James Murray (c.1755-1811); cr. Cts. of Bath 1803.	BATH, HENRIETTA LAURA	Henrietta Laura Bath
288	BATH, DR	BATH, DR	Dr Bath
289	BATH	BATH	Bath
290	BATHURST, 3RD EARL OF, see Henry, Baron Apsley	BATHURST, 3RD EARL OF	3rd Earl Of Bathurst
291	BATHURST, BENJAMIN (c.1691-1767) of Lydney, Glos, 3rd s. of Sir Benjamin Bathurst, Kt.; educ. Eton and Trin. Oxf. 1708; MP 1713-67; m. 1 1714 Finetta Poole (d. 1738), 2 1741 Catherine Brodrick.	BATHURST, BENJAMIN	Benjamin Bathurst
292	BATHURST, HON. BENJAMIN (1711-67) of Siddington, Glos, e. s. of 1st B. Bathurst, later 1st E. Bathurst; Balliol Oxf. 1725; m. 1732 Ldy. Elizabeth Bruce, dau. of 3rd E. of Ailesbury; MP 1734-41, 1754-61.	BATHURST, HON. BENJAMIN	Hon. Benjamin Bathurst
293	BATHURST, PETER (1687-1748) of Clarendon Park, Wilts, 2nd. s. of Sir Benjamin Bathurst, Kt.; educ. Eton and Trin. Oxf. 1703; m. 1 1709 Leonora-Maria How (d. 1720), 2 1720 Ldy. Selina Shirley, dau. of 1st E. Ferrers; MP 1711-13, 1727-41.	BATHURST, PETER	Peter Bathurst
294	BATHURST	BATHURST	Bathurst
295	BATIN, see Sir William Molesworth	BATIN	Batin
296	BATSON, JOSEPH	BATSON, JOSEPH	Joseph Batson
297	BATT, DR WILLIAM (1744-1812), s. of Rev. William Batt; St John's Camb. 1761; MD Montpellier 1770; Leiden U. 1771; prof. of chemistry, Genoa 1774-87; d. Genoa.	BATT, DR WILLIAM	Dr William Batt
298	BATTIA, JOHN GRAY	BATTIA, JOHN GRAY	John Gray Battia
299	BATTY	BATTY	Batty
300	BAXTER, ALEXANDER, see John Baxter	BAXTER, ALEXANDER	Alexander Baxter
301	BAXTER, JOHN (c.1737-98), architect, s. of John Baxter, architect of Edinburgh.	BAXTER, JOHN	John Baxter
302	BAXTER (b. c.1764), painter.	BAXTER	Baxter
303	BAYLY, JOHN, see Thomas Boone	BAYLY, JOHN	John Bayly
304	BAYLY	BAYLY	Bayly
305	BAYNE	BAYNE	Bayne
306	BAYNES, CHRISTOPHER (1755-1837), o. s. of William Baynes of Kilburn Hall and Harefield Place, Mx.; army officer R.Hse.Gds.; m. 1788; cr. Bt. 1801.	BAYNES, CHRISTOPHER	Christopher Baynes
307	BAYSPOOLE, ROBERT, possibly Robert Bayspoole, 1704-34, s. of Robert Bayspoole, a mercer; Caius Camb. 1722; ord. 1731.	BAYSPOOLE, ROBERT, possibly Robert Bayspoole, 1704-34, s. of Robert Bayspoole, a mercer	Robert Bayspoole
308	BEACH, CAPT.	BEACH, CAPT.	Capt. Beach
309	BEACH	BEACH	Beach
310	BEAGHAN, the MISSES, three daus. of Edmund Beaghan of Sissinghurst, Kent.	BEAGHAN, the MISSES, three daus. of Edmund Beaghan of Sissinghurst, Kent.	Beaghan
311	BEALE, THOMAS, possibly Thomas Beale, b. c.1700, s. of Bartholomew Beale of Heath Ho., Leintwardine, Herefs; Pembroke Oxf. 1721; M.Temple 1721.	BEALE, THOMAS, possibly Thomas Beale, b. c.1700, s. of Bartholomew Beale of Heath Ho., Leintwardine, Herefs	Thomas Beale
312	BEARCROFT, EDWARD (b. c.1693), s. of Edward Bearcroft of London; Queen's Oxf. 1709; MA (Merton) 1715.	BEARCROFT, EDWARD	Edward Bearcroft
313	BEAUCHAMP, FRANCIS SEYMOUR CONWAY, VISCOUNT (1743-1822), statesman, e. s. of E. of Hertford, cr. M. of Hertford 1793, of Ragley Hall, War; sty. Vct. Beauchamp 1750-93; E. of Yarmouth 1793-4 when suc. fa. as 2nd M.; educ. Eton and Ch.Ch. Oxf. 1760; MP 1761-76 [I], 1766-94; m. 1 1768 Hon. Alice Windsor (d. 1772), dau. of 2nd Vct. Windsor [I], 2 1776 Hon. Isabella Ingram Shepheard, dau. of 9th Vct. Irwin [S]; amb. Berlin and Vienna 1793-4; FSA 1794; KG 1807.	BEAUCHAMP, FRANCIS SEYMOUR CONWAY, VISCOUNT	Francis Seymour Conway, Viscount Beauchamp
314	BEAUCHAMP, GEORGE SEYMOUR, VISCOUNT (1725-44), o. s. of E. of Hertford, later 7th D. of Somerset; unm.	BEAUCHAMP, GEORGE SEYMOUR, VISCOUNT	George Seymour, Viscount Beauchamp
315	BEAUCHAMP, CAPT.	BEAUCHAMP, CAPT.	Capt. Beauchamp
316	BEAUCHAMP-PROCTOR, THOMAS (1756- 1827), e. s. of Sir William Beauchamp-Proctor of Langley Park, Norf.; suc. fa. 1773 as 2nd Bt.; Christ's Camb. 1773; m. 1778 Mary Palmer.	BEAUCHAMP-PROCTOR, THOMAS	Thomas Beauchamp-Proctor
317	BEAUCLERK, LORD AUBREY (1711-41), 8th s. of 1st D. of St Albans; naval capt.; m. Catherine Newton; d. Cartagena.	BEAUCLERK, LORD AUBREY	Lord Aubrey Beauclerk
318	BEAUCLERK, HON. AUBREY (1740-1802), o. surv. s. of 1st B. Vere; Queen's Oxf. 1758; MP 1761-74; m. 1763 Ldy. Catherine Ponsonby, dau. of 2nd E. of Bessborough; suc. fa. 1781 as 2nd B.; suc. cos. 1787 as 5th D. of St Albans.	BEAUCLERK, HON. AUBREY	Hon. Aubrey Beauclerk
319	BEAUCLERK, AUBREY (1765-1815), e. s. of 5th D. of St Albans 1787; army officer, ensign 1781, lt.-col. 1789; sty. E. of Burford 1787-1802 when suc. fa. as 6th D.; m. 1 1788 Jane Moses (d. 1800) 2 1802 Louisa Manners (d. 1816); MP 1790-6.	BEAUCLERK, AUBREY	Aubrey Beauclerk
320	BEAUCLERK, CHARLES GEORGE (1774- 1846) of South Lodge, St Leonards, Sx., o. s. of Hon. Topham Beauclerk; suc. fa. 1780; educ. Eton and Ch.Ch. Oxf. 1790; m. 1799 Emily Ogilvie; MP 1796-8.	BEAUCLERK, CHARLES GEORGE	Charles George Beauclerk
321	BEAUCLERK, LORD SIDNEY (1703-44), 5th s. of 1st D. of St Albans.	BEAUCLERK, LORD SIDNEY	Lord Sidney Beauclerk
322	BEAUCLERK, TOPHAM (1739-80), bibliophile; o. s. of Ld. Sidney Beauclerk of Windsor and gd.-s. of 1st D. of St Albans; Trin. Oxf. 1757; Dilettanti 1765; m. 1768 Ldy. Diana Spencer, dau. of 3rd D. of Marlborough and div. w. of 2nd Vct. Bolingbroke.	BEAUCLERK, TOPHAM	Topham Beauclerk
323	BEAUCLERK, LORD VERE (1699-1781) of Hanworth, Mx., 3rd s. of 1st D. of St Albans; naval officer, capt. 1721, ld. high adml.1738-42, 1744-9; MP 1726-50; m. 1736 Mary Chambers; cr. B. Vere 1750.	BEAUCLERK, LORD VERE	Lord Vere Beauclerk
